entity_id,canonical_name,entity_type,industry
13,Mack Trucks,company,automotive
14,Pratt and Whitney Aircraft,company,aerospace
15,Eagle Electric Manufacturing,company,electrical
16,Pathe Cinema,company,film
17,Albert Setzer,individual,industrial
18,Shell Oil Company,company,petroleum
19,Deere and Company,company,agricultural machinery
20,Alfa Romeo,company,automotive
21,Worthington Pump and Machinery,company,industrial machinery
22,Raleigh Cycle Company,company,transportation
23,Goodyear Tire and Rubber,company,automotive
24,Colts Patent Fire Arms Manufacturing,company,firearms
25,JI Case Company,company,agricultural machinery
26,General Motors Corporation,company,automotive
27,James Walker and Company,company,industrial
28,Gillette Tire Company,company,automotive
29,American Brass Company,company,industrial
30,Standard Johnson Company,company,industrial
