entity_id,variant_name,source
1,Remington Typewriter Company,patent_assignee
1,REMINGTON TYPEWRITER CO [US],patent_assignee
1,REMINGTON TYPEWRITER CO,patent_assignee
1,REMINGTON RAND INC,patent_assignee
1,FIRM REMINGTON RAND INC,patent_assignee
1,"REMINGTON TYPEWRITER COMPANY, THE",trademark_owner
1,REMINGTON RAND INC.,trademark_owner
1,"REMINGTON RAND BUSINESS SERVICE, INC.",trademark_owner
1,Remington Rand Corporation,trademark_owner
1,"RAND KARDEX BUREAU, INC.",trademark_owner
1,"KARDEX SYSTEMS, INC.",trademark_owner
2,WILSON JONES CO,patent_assignee
2,WILSON JONES LOOSE LEAF CO,patent_assignee
2,WILSON JONES LOOSE LEAF CO [US],patent_assignee
2,WILSON JONES LOOSE LEAF COMPAN,patent_assignee
2,WILSON JONES LOOSE LEAF COMPANY [US],patent_assignee
2,WILSON JONES COMPANY,trademark_owner
3,YAWMAN & ERBE MFG CO,patent_assignee
3,YAWMAN & ERBE MFG CO [US],patent_assignee
3,YAWMAN AND ERBE MFG COMPANY [US],patent_assignee
3,YAWMAN AND ERBE MFG. CO.,trademark_owner
4,BOORUM & PEASE COMPANY,patent_assignee
4,BOORUM & PEASE LOOSE LEAF BOOK COMPANY [US],patent_assignee
4,BOORUM AND PEASE COMPANY,patent_assignee
4,BOORUM AND PEASE COMPANY [US],patent_assignee
4,BOORUM & PEASE CO.,trademark_owner
4,BOORUM & PEASE COMPANY,trademark_owner
5,LIBRARY BUREAU [US],patent_assignee
5,LIBRARY BUREAU,patent_assignee
5,Library Bureau,trademark_owner
5,LIBRARY BUREAU,trademark_owner
5,"LIBRARY BUREAU, INC.",trademark_owner
6,"SMEAD MANUFACTURING COMPANY, THE",trademark_owner
6,"SMEAD MANUFACTURING COMPANY , THE",trademark_owner
7,"SCHOLFIELD SERVICE, INC.",trademark_owner
