entity_id,variant_name,source
35,"L.S. STARRETT COMPANY, THE",trademark_owner
35,"L. S. STARRETT CO., THE",trademark_owner
35,"L. S. STARRETT COMPANY, THE",trademark_owner
35,STARRETT L S CO,patent_assignee
35,STARRETT MFG COMPANY,patent_assignee
36,BROWN & SHARPE MFG,patent_assignee
36,BROWN & SHARPE MFG [US],patent_assignee
37,SNAP-ON INCORPORATED,trademark_owner
38,ILLINOIS TOOL WORKS INC.,trademark_owner
38,ILLINOIS TOOL WORKS,trademark_owner
38,Illinois Tool Works Inc.,trademark_owner
38,"Illinois Tool Works, Inc.",trademark_owner
38,ILLINOIS TOOL WORKS,patent_assignee
38,ILLINOIS TOOL WORKS [US],patent_assignee
