entity_id,canonical_name,entity_type,industry,slug,founded,dissolved
1,Remington Rand,manufacturer,office-systems,remington-rand,,
2,Wilson Jones,manufacturer,office-systems,wilson-jones,,
3,Yawman & Erbe,manufacturer,office-systems,yawman-erbe,,
4,Boorum & Pease,manufacturer,blank-books,boorum-pease,,
5,Library Bureau,manufacturer,office-systems,library-bureau,,
6,Smead Manufacturing Company,manufacturer,office-systems,smead-manufacturing-company,,
7,Scholfield Service,manufacturer,office-systems,scholfield-service,,
8,Radio Corporation of America,manufacturer,radio,radio-corporation-of-america,,
9,Westinghouse Electric and Manufacturing Company,manufacturer,radio,westinghouse-electric-and-manufacturing-company,,
10,Atwater Kent Manufacturing Company,manufacturer,radio,atwater-kent-manufacturing-company,,
11,Zenith Radio Corporation,manufacturer,radio,zenith-radio-corporation,,
12,De Forest Radio Company,manufacturer,radio,de-forest-radio-company,,
13,Mack Trucks,company,automotive,mack-trucks,,
14,Pratt and Whitney Aircraft,company,aerospace,pratt-and-whitney-aircraft,,
15,Eagle Electric Manufacturing,company,electrical,eagle-electric-manufacturing,,
16,Pathe Cinema,company,film,pathe-cinema,,
17,Albert Setzer,individual,industrial,albert-setzer,,
18,Shell Oil Company,company,petroleum,shell-oil-company,,
19,Deere and Company,company,agricultural machinery,deere-and-company,,
20,Alfa Romeo,company,automotive,alfa-romeo,,
21,Worthington Pump and Machinery,company,industrial machinery,worthington-pump-and-machinery,,
22,Raleigh Cycle Company,company,transportation,raleigh-cycle-company,,
23,Goodyear Tire and Rubber,company,automotive,goodyear-tire-and-rubber,,
24,Colts Patent Fire Arms Manufacturing,company,firearms,colts-patent-fire-arms-manufacturing,,
25,JI Case Company,company,agricultural machinery,ji-case-company,,
26,General Motors Corporation,company,automotive,general-motors-corporation,,
27,James Walker and Company,company,industrial,james-walker-and-company,,
28,Gillette Tire Company,company,automotive,gillette-tire-company,,
29,American Brass Company,company,industrial,american-brass-company,,
30,Standard Johnson Company,company,industrial,standard-johnson-company,,
31,Eastman Kodak Company,company,photography,eastman-kodak-company,,
32,Ansco,company,photography,ansco,,
33,Graflex,company,photography,graflex,,
34,Blair Camera Company,company,photography,blair-camera-company,,
35,L.S. Starrett Company,company,precision tools,l-s-starrett-company,,
36,Brown and Sharpe Manufacturing,company,precision tools,brown-and-sharpe-manufacturing,,
37,Snap-on Tools Company,company,hand tools,snap-on-tools-company,,
38,Illinois Tool Works,company,precision tools,illinois-tool-works,,
9002,General Electric Company,company,Electrical manufacturing,general-electric-company,,
9004,Westinghouse Electric Corporation,,Electrical manufacturing,westinghouse-electric-corporation,,
