variant_id,entity_id,variant_name,source
1,1,Remington Typewriter Company,patent_assignee
2,1,REMINGTON TYPEWRITER CO [US],patent_assignee
3,1,REMINGTON TYPEWRITER CO,patent_assignee
4,1,REMINGTON RAND INC,patent_assignee
5,1,FIRM REMINGTON RAND INC,patent_assignee
6,1,"REMINGTON TYPEWRITER COMPANY, THE",trademark_owner
7,1,REMINGTON RAND INC.,trademark_owner
8,1,"REMINGTON RAND BUSINESS SERVICE, INC.",trademark_owner
9,1,Remington Rand Corporation,trademark_owner
10,2,WILSON JONES CO,patent_assignee
11,2,WILSON JONES LOOSE LEAF CO,patent_assignee
12,2,WILSON JONES LOOSE LEAF CO [US],patent_assignee
13,2,WILSON JONES LOOSE LEAF COMPAN,patent_assignee
14,2,WILSON JONES LOOSE LEAF COMPANY [US],patent_assignee
15,2,WILSON JONES COMPANY,trademark_owner
16,3,YAWMAN & ERBE MFG CO,patent_assignee
17,3,YAWMAN & ERBE MFG CO [US],patent_assignee
18,3,YAWMAN AND ERBE MFG COMPANY [US],patent_assignee
19,3,YAWMAN AND ERBE MFG. CO.,trademark_owner
20,4,BOORUM & PEASE COMPANY,patent_assignee
21,4,BOORUM & PEASE LOOSE LEAF BOOK COMPANY [US],patent_assignee
22,4,BOORUM AND PEASE COMPANY,patent_assignee
23,4,BOORUM AND PEASE COMPANY [US],patent_assignee
24,4,BOORUM & PEASE CO.,trademark_owner
25,4,BOORUM & PEASE COMPANY,trademark_owner
26,1,"RAND KARDEX BUREAU, INC.",trademark_owner
27,1,"KARDEX SYSTEMS, INC.",trademark_owner
28,5,LIBRARY BUREAU [US],patent_assignee
29,5,LIBRARY BUREAU,patent_assignee
30,5,Library Bureau,trademark_owner
31,5,LIBRARY BUREAU,trademark_owner
32,5,"LIBRARY BUREAU, INC.",trademark_owner
33,6,"SMEAD MANUFACTURING COMPANY, THE",trademark_owner
34,6,"SMEAD MANUFACTURING COMPANY , THE",trademark_owner
35,7,"SCHOLFIELD SERVICE, INC.",trademark_owner
36,8,RCA CORP,patent_assignee
37,8,RCA CORP [US],patent_assignee
38,8,RCA CORPORATION,trademark_owner
39,8,RADIOLA,trademark_search
40,8,RADIOTRON,trademark_search
41,8,SUPERHETERODYNE,trademark_search
42,9,WESTINGHOUSE ELECTRIC & MFG CO,patent_assignee
43,9,WESTINGHOUSE ELECTRIC & MFG CO [US],patent_assignee
44,9,WESTINGHOUSE ELECTRIC CORPORATION,trademark_owner
45,9,RADIOPHONE,trademark_search
46,9,AERIOLA,trademark_search
47,10,ARTHUR ATWATER KENT,patent_assignee
48,10,ATWATER KENT MFG CO,patent_assignee
49,10,ATWATERKENT,trademark_search
50,10,ATWATER KENT,trademark_search
51,11,Zenith Radio Corporation,trademark_owner
52,11,ZENITH RADIO CORPORATION,trademark_owner
53,11,ZENITH,trademark_search
54,11,ZEPHYR,trademark_search
55,12,FOREST RADIO TELEPHONE & TELEG,patent_assignee
56,12,FOREST RADIO COMPANY DE,patent_assignee
57,12,FOREST RADIO TELEPHONE AND TEL,patent_assignee
58,12,DEFOREST RADIO COMPANY,patent_assignee
59,12,AUDION,trademark_search
60,12,OSCILLION,trademark_search
61,12,DE FOREST,trademark_search
62,13,"MACK TRUCKS, INC.",trademark_owner
63,13,INTERNATIONAL MOTOR COMPANY,trademark_owner
64,13,MACK MANUFACTURING CORPORATION,trademark_owner
65,14,"PRATT & WHITNEY AIRCRAFT COMPANY, THE",trademark_owner
66,14,PRATT & WHITNEY COMPANY,trademark_owner
67,15,"EAGLE ELECTRIC MANUFACTURING COMPANY, INC.",trademark_owner
68,15,EAGLE ELECTRIC MFG. CO.,trademark_owner
69,16,"PATHE CINEMA, ANCIENS ETABLISSEMENTS PATHE FRERES",trademark_owner
70,17,ALBERT SETZER,trademark_owner
71,18,SHELL OIL COMPANY,trademark_owner
72,18,"ASIATIC PETROLEUM COMPANY, LIMITED, THE",trademark_owner
73,19,DEERE & COMPANY,trademark_owner
74,20,ALFA ROMEO S.P.A.,trademark_owner
75,20,SOCIETA ANONIMA ITALIANA ING. NICOLA ROMEO & C.,trademark_owner
76,21,WORTHINGTON PUMP AND MACHINERY CORPORATION,trademark_owner
77,22,"RALEIGH CYCLE COMPANY LIMITED, THE",trademark_owner
78,22,RALEIGH CYCLE COMPANY LTD,trademark_owner
79,23,"GOODYEAR TIRE & RUBBER COMPANY, THE",trademark_owner
80,23,GOODYEAR TIRE & RUBBER,patent_assignee
81,24,Colt's Patent Fire Arms Manufacturing Company,trademark_owner
82,24,COLT S MFG CO,patent_assignee
83,25,J.I. CASE COMPANY,trademark_owner
84,26,GENERAL MOTORS CORPORATION,trademark_owner
85,27,JAMES WALKER & CO.,trademark_owner
86,28,Gillette Tire Company,trademark_owner
87,28,Gillette Rubber Company,trademark_owner
88,29,"AMERICAN BRASS COMPANY, THE",trademark_owner
89,30,"STANDARD-JOHNSON COMPANY, INC.",trademark_owner
90,14,PRATT & WHITNEY AIRCRAFT COMPA,patent_assignee
91,19,DEERE & CO,patent_assignee
92,19,DEERE & CO [US],patent_assignee
93,21,WORTHINGTON PUMP & MACH CORP,patent_assignee
94,26,GEN MOTORS CORP,patent_assignee
95,13,MACK JOHN M [US],patent_assignee
96,31,EASTMAN KODAK COMPANY,trademark_owner
97,31,"EASTMAN KODAK COMPANY, THE",trademark_owner
98,31,EASTMAN KODAK CO.,trademark_owner
99,31,EASTMAN KODAK CO,patent_assignee
100,31,EASTMAN KODAK CO [US],patent_assignee
101,32,ANSCO COMPANY,trademark_owner
102,32,AGFA ANSCO CORPORATION,trademark_owner
103,32,"ANSCO PHOTOPRODUCTS, INC.",trademark_owner
104,32,ANSCO COMPANY,patent_assignee
105,32,ANSCO COMPANY [US],patent_assignee
106,32,AGFA ANSCO CORP,patent_assignee
107,32,ANSCO PHOTOPRODUCTS INC,patent_assignee
108,33,FOLMER GRAFLEX CORPORATION,trademark_owner
109,33,FOLMER GRAFLEX CORP,patent_assignee
110,35,"L.S. STARRETT COMPANY, THE",trademark_owner
111,35,"L. S. STARRETT CO., THE",trademark_owner
112,35,"L. S. STARRETT COMPANY, THE",trademark_owner
113,35,STARRETT L S CO,patent_assignee
